NAME,PER,MASS,SEP,DIST,MSTAR,RSTAR,TEFF,FE
Kepler-1579 b,0.84990789,0.00157306,0.0159542,466,0.75,0.7,4584,0.11
Kepler-191 d,5.94504102,0.0172355,0.0608391,0,0.85,0.79,5282,0.006
Kepler-357 c,16.85837,0.0218083,0.128672,,,0.834,5036,
Kepler-861 b,3.94963138,0.0172355,0.0457701,806,0.82,0.78,5047,0.01
Kepler-1258 b,0.98494017,0.00172655,0.0193089,651,0.99,0.99,5839,-0.07
TRAPPIST-1 c,2.421848,0.00337211,0.0152078,12.1095,0.08,0.117,2550,0.04
Kepler-552 b,5.26341577,0.0499388,0.0598041,834,1.03,1.04,5863,0.01
HD 89744 b,256.78,8.18778,0.902604,39.4322,1.48,2.02329,6234,0.22
Kepler-1441 b,39.4419839,0.00752338,0.226767,751,1,1,5802,0.01
Kepler-1341 b,132.9968322,0.0267373,0.471386,466,0.79,0.72,4662,0.19
Kepler-738 b,24.58721573,0.01966,0.157366,992,0.86,0.82,5327,-0.09
HD 183263 c,3066,3.47646,4.29488,55.0964,1.121,1.11717,5936.41,0.301955
WASP-42 b,4.9816877,0.496968,0.0547344,160,0.881,0.85,5200,0.05
Kepler-1612 b,3.91795101,0.00325512,0.047981,837,0.96,0.94,5643,0.03
Kepler-885 b,18.11472949,0.01966,0.143843,632,1.21,1.35,6187,0.11
Kepler-53 d,9.751962,0.0157841,0.0893308,,,0.958,6085,
Kepler-48 b,4.778,0.0123966,0.0532027,,0.88,0.89,5194,0.17
Kepler-1614 b,3.9466141,0.0115494,0.045182,982,0.79,0.76,5121,-0.17
HD 192310 c,525.8,0.0736073,1.18358,8.91107,0.8,0.847025,5166,-0.04
HD 1690 b,533,6.52644,1.36191,310.559,1.18,21.1524,4364,-0.29
HAT-P-41 b,2.694047,0.800254,0.0425775,344,1.418,1.683,6390,0.21
Kepler-1493 b,15.0217983,0.00965491,0.121485,572,1.06,1.29,5863,0.06
Kepler-42 c,0.45328509,0.000954523,0.00585017,38.7,0.13,0.17,3068,-0.48
Kepler-1492 b,16.75255007,0.0115494,0.117442,371,0.77,0.72,4712,0.06
HD 28185 b,379,5.79721,1.02341,42.337,0.99,1.00685,5656,0.22
HIP 97233 b,1058.8,19.8471,2.5395,106.496,1.93,5.34,5020,0.29
Kepler-1461 b,29.3494775,0.0150076,0.17214,752,0.79,0.74,4919,-0.04
Kepler-846 b,19.80792185,0.019398,0.140349,1233,0.94,0.91,5579,0
HD 23127 b,1214,1.40487,2.31864,98.7167,1.127,1.51172,5752,0.34
HD 154672 b,163.94,5.00638,0.598618,64.7668,1.06,1.31501,5714,0.26
Kepler-275 d,35.676062,0.0333072,0.212092,,,1.383,6165,
Kepler-52 b,7.8773565,0.015593,0.0630945,,0.54,0.52,4075,
Kepler-1561 b,1.00520701,0.00392895,0.0200865,993,1.07,1.11,5957,0.04
OGLE-TR-10 b,3.10129,0.62,0.0434856,,1.14,1.17,5950,0.15
Kepler-370 b,4.57953,0.011856,0.0539702,,,0.9,5852,
Kepler-601 b,5.37886844,0.014034,0.0569124,429,0.85,0.79,5160,-0.02
gamma Leo A b,428.5,10.3722,1.29554,39.8883,1.57,27.4346,4428,-0.41
NN Ser c,5571,2.24099,6.15467,,,,,
Kepler-1179 b,2.68505749,0.00774372,0.0356726,454,0.84,0.81,5212,-0.03
Kepler-930 b,71.4517775,0.0158698,0.36301,905,1.25,1.4,6335,0.04
Kepler-1073 b,8.67888593,0.0174594,0.0826512,837,1,1,5792,0
HAT-P-2 b,5.6334729,8.87065,0.0679088,114.416,1.308,1.506,6290,0.14
HAT-P-24 b,3.35524,0.685857,0.0465021,396,1.191,1.317,6373,-0.16
HD 11506 b,1405,4.7347,2.60488,51.7063,1.19,1.26275,6058,0.31
Kepler-758 c,4.75793986,0.0125233,0.0581708,1353,1.16,1.42,6228,-0.1
tau Boo b,3.312433,5.95,0.0480039,15.6177,1.341,1.41847,6387.49,0.233627
Kepler-422 b,7.8914483,1,0.0812822,,1.15,1.24,,
Kepler-124 c,13.821375,0.0129124,0.112713,,,0.636,4984,
Kepler-1081 b,3.85691855,0.0030088,0.0461241,425,0.88,0.84,5345,0.01
Kepler-1539 b,133.3036741,0.0222358,0.481868,788,0.84,0.8,5176,-0.01
Kepler-1458 b,47.9872764,0.0230257,0.254946,642,0.96,0.94,5653,0.02
Kepler-184 c,20.303005,0.0145328,0.145651,,,0.873,5788,
XO-2S c,120.8,1.371,0.47557,,0.982,1.02,5399,0.39
HD 34445 b,1049,0.790506,2.06642,46.4684,1.069,1.39357,5836,0.14
Kepler-318 b,4.662715,0.0733215,0.0546218,,,1.189,5746,
OGLE-2007-BLG-368L b,,0.0629,3.3,5900,0.64,,,
KELT-7 b,2.7347749,1.28,0.0441609,129,1.535,1.732,6789,0.139
Kepler-1321 c,2.22649109,0.0185165,0.0271739,547,0.54,0.53,4094,-0.45
Kepler-1311 c,2.53573424,0.00590412,0.036989,705,1.05,1.4,5748,0.09
Kepler-1260 b,19.1187753,0.0130579,0.142675,1041,1.06,1.08,5961,0.01
HD 125612 b,559.40487,3.06805,1.3728,54.2005,1.1,1.0426,5897,0.24
Kepler-20 f,19.57706,0.00323095,0.137859,290,0.912,0.944,5466,0.02
Kepler-198 b,17.790037,0.0239491,0.13337,,,0.94,5574,
42 Dra b,479.1,3.73203,1.16693,96.5251,0.92,22.04,4200,-0.46
Kepler-808 b,0.63133235,0.0107116,0.0131437,321,0.76,0.71,4653,0.05
Kepler-216 b,7.693641,0.0179955,0.0762713,,,1.26,6091,
Kepler-292 d,7.055679,0.0167934,0.0719945,,,0.826,5299,
Kepler-53 b,18.6489525,0.0249941,0.136705,,0.98,0.89,5858,
